Time,Accel
0.005,5.595562E-06
0.01,5.890857E-06
0.015,6.174527E-06
0.02,6.471501E-06
0.025,6.786627E-06
0.03,7.112279E-06
0.035,7.421058E-06
0.04,7.722031E-06
0.045,8.039471E-06
0.05,8.354606E-06
0.055,8.708577E-06
0.06,9.060829E-06
0.065,9.302804E-06
0.07,9.524216E-06
0.075,9.826610E-06
0.08,1.016261E-05
0.085,1.053076E-05
0.09,1.107308E-05
0.095,1.153103E-05
0.1,1.161684E-05
0.105,1.166346E-05
0.11,1.196516E-05
0.115,1.236145E-05
0.12,1.269394E-05
0.125,1.297818E-05
0.13,1.329374E-05
0.135,1.360945E-05
0.14,1.410188E-05
0.145,1.489839E-05
0.15,1.508299E-05
0.155,1.509158E-05
0.16,1.584041E-05
0.165,1.614557E-05
0.17,1.590278E-05
0.175,1.595938E-05
0.18,1.671198E-05
0.185,1.794089E-05
0.19,1.799729E-05
0.195,1.773774E-05
0.2,1.874449E-05
0.205,1.907243E-05
0.21,1.850163E-05
0.215,1.839504E-05
0.22,1.937259E-05
0.225,2.145154E-05
0.23,2.357535E-05
0.235,2.529750E-05
0.24,2.458587E-05
0.245,2.160815E-05
0.25,2.066052E-05
0.255,2.289444E-05
0.26,2.342828E-05
0.265,2.197298E-05
0.27,2.156152E-05
0.275,2.232979E-05
0.28,2.362607E-05
0.285,2.646356E-05
0.29,2.817962E-05
0.295,2.588672E-05
0.3,2.417212E-05
0.305,2.739085E-05
0.31,3.111322E-05
0.315,3.099027E-05
0.32,2.621528E-05
0.325,2.126957E-05
0.33,2.251022E-05
0.335,2.652710E-05
0.34,2.752409E-05
0.345,2.886252E-05
0.35,3.566983E-05
0.355,3.792606E-05
0.36,3.116414E-05
0.365,2.734290E-05
0.37,3.146431E-05
0.375,3.287594E-05
0.38,2.823426E-05
0.385,2.339590E-05
0.39,2.417800E-05
0.395,2.542634E-05
0.4,2.754496E-05
0.405,3.192127E-05
0.41,3.846694E-05
0.415,4.123310E-05
0.42,3.577220E-05
0.425,3.197594E-05
0.43,3.814155E-05
0.435,4.502128E-05
0.44,4.588435E-05
0.445,4.264175E-05
0.45,3.810694E-05
0.455,4.060057E-05
0.46,4.470085E-05
0.465,4.131247E-05
0.47,4.360969E-05
0.475,5.243107E-05
0.48,4.647231E-05
0.485,3.589067E-05
0.49,4.094994E-05
0.495,5.115229E-05
0.5,5.117346E-05
0.505,4.043584E-05
0.51,3.784962E-05
0.515,5.350202E-05
0.52,5.928502E-05
0.525,4.431850E-05
0.53,3.516292E-05
0.535,4.567034E-05
0.54,5.749585E-05
0.545,5.531730E-05
0.55,4.544853E-05
0.555,4.494653E-05
0.56,4.465613E-05
0.565,3.976396E-05
0.57,3.737947E-05
0.575,3.899448E-05
0.58,3.761795E-05
0.585,2.981015E-05
0.59,3.434884E-05
0.595,5.391349E-05
0.6,6.571605E-05
0.605,6.425697E-05
0.61,5.787739E-05
0.615,5.042005E-05
0.62,5.439331E-05
0.625,6.410169E-05
0.63,6.388216E-05
0.635,4.961880E-05
0.64,4.241659E-05
0.645,5.256962E-05
0.65,5.373834E-05
0.655,4.727281E-05
0.66,5.620111E-05
0.665,6.631396E-05
0.67,5.541602E-05
0.675,4.456797E-05
0.68,5.723648E-05
0.685,6.966485E-05
0.69,5.701525E-05
0.695,4.505575E-05
0.7,5.488234E-05
0.705,5.752433E-05
0.71,4.701201E-05
0.715,4.556551E-05
0.72,6.362776E-05
0.725,7.413356E-05
0.73,6.277793E-05
0.735,6.151855E-05
0.74,7.055313E-05
0.745,5.607042E-05
0.75,3.315293E-05
0.755,4.570377E-05
0.76,6.066233E-05
0.765,5.294453E-05
0.77,4.847112E-05
0.775,6.643619E-05
0.78,8.388704E-05
0.785,8.425896E-05
0.79,7.941871E-05
0.795,7.913850E-05
0.8,8.157436E-05
0.805,8.195119E-05
0.81,8.223749E-05
0.815,7.276007E-05
0.82,4.174973E-05
0.825,3.060374E-05
0.83,4.550185E-05
0.835,5.436966E-05
0.84,5.602682E-05
0.845,7.172647E-05
0.85,8.850141E-05
0.855,9.054586E-05
0.86,8.120910E-05
0.865,6.035172E-05
0.87,5.167355E-05
0.875,6.687237E-05
0.88,6.788142E-05
0.885,4.652893E-05
0.89,2.510718E-05
0.895,3.316266E-05
0.9,5.814126E-05
0.905,7.845289E-05
0.91,6.287859E-05
0.915,3.422231E-05
0.92,5.091984E-05
0.925,6.996627E-05
0.93,5.963554E-05
0.935,4.810954E-05
0.94,4.965577E-05
0.945,5.465226E-05
0.95,5.430686E-05
0.955,5.355988E-05
0.96,4.695853E-05
0.965,3.712480E-05
0.97,5.877534E-05
0.975,7.293336E-05
0.98,6.575785E-05
0.985,7.935639E-05
0.99,9.460518E-05
0.995,8.190714E-05
1,7.408870E-05
1.005,6.740371E-05
1.01,5.593568E-05
1.015,5.153449E-05
1.02,6.027482E-05
1.025,8.726357E-05
1.03,1.062938E-04
1.035,1.070045E-04
1.04,8.765276E-05
1.045,5.014081E-05
1.05,6.176341E-05
1.055,9.739002E-05
1.06,7.628857E-05
1.065,3.218456E-05
1.07,5.085113E-05
1.075,7.688610E-05
1.08,6.548593E-05
1.085,4.984824E-05
1.09,5.811673E-05
1.095,9.091385E-05
1.1,1.060833E-04
1.105,7.698715E-05
1.11,5.556106E-05
1.115,8.249387E-05
1.12,1.139709E-04
1.125,1.081085E-04
1.13,7.066700E-05
1.135,5.403956E-05
1.14,8.527315E-05
1.145,1.150135E-04
1.15,1.153580E-04
1.155,9.808732E-05
1.16,7.691467E-05
1.165,7.832334E-05
1.17,7.343504E-05
1.175,5.606570E-05
1.18,4.956642E-05
1.185,5.360739E-05
1.19,6.375272E-05
1.195,9.200224E-05
1.2,1.067044E-04
1.205,8.550843E-05
1.21,8.485841E-05
1.215,9.990559E-05
1.22,8.731301E-05
1.225,8.753139E-05
1.23,9.924858E-05
1.235,8.630234E-05
1.24,8.720400E-05
1.245,1.001737E-04
1.25,7.824567E-05
1.255,5.714469E-05
1.26,7.536959E-05
1.265,7.892208E-05
1.27,5.598664E-05
1.275,5.393668E-05
1.28,8.181127E-05
1.285,8.097427E-05
1.29,5.387269E-05
1.295,5.315280E-05
1.3,8.256162E-05
1.305,8.907774E-05
1.31,9.240348E-05
1.315,1.088042E-04
1.32,1.077729E-04
1.325,8.140904E-05
1.33,7.633476E-05
1.335,6.319638E-05
1.34,1.527187E-05
1.345,-9.795681E-06
1.35,3.345276E-05
1.355,1.011043E-04
1.36,1.269807E-04
1.365,1.150868E-04
1.37,1.070463E-04
1.375,1.012979E-04
1.38,8.160387E-05
1.385,7.775948E-05
1.39,7.816295E-05
1.395,9.251445E-05
1.4,1.033926E-04
1.405,8.345070E-05
1.41,8.505559E-05
1.415,9.978207E-05
1.42,8.587464E-05
1.425,7.720669E-05
1.43,6.701214E-05
1.435,5.026720E-05
1.44,5.277587E-05
1.445,8.903203E-05
1.45,1.091609E-04
1.455,7.595703E-05
1.46,4.063970E-05
1.465,4.022918E-05
1.47,5.063164E-05
1.475,6.052560E-05
1.48,8.075936E-05
1.485,6.599694E-05
1.49,8.253288E-06
1.495,-1.661060E-05
1.5,1.362082E-05
1.505,2.733065E-05
1.51,4.000859E-05
1.515,9.544549E-05
1.52,1.450569E-04
1.525,1.033556E-04
1.53,4.834581E-05
1.535,7.152441E-05
1.54,1.176304E-04
1.545,1.050912E-04
1.55,4.179155E-05
1.555,5.939419E-05
1.56,1.325652E-04
1.565,1.111368E-04
1.57,5.085087E-05
1.575,6.683516E-05
1.58,1.052697E-04
1.585,7.975817E-05
1.59,4.789231E-05
1.595,6.649126E-05
1.6,8.210125E-05
1.605,8.992516E-05
1.61,1.128150E-04
1.615,1.337492E-04
1.62,9.257218E-05
1.625,3.717146E-05
1.63,2.975308E-05
1.635,5.272653E-05
1.64,9.877459E-05
1.645,1.343568E-04
1.65,1.028639E-04
1.655,6.771160E-05
1.66,5.404775E-05
1.665,3.616043E-05
1.67,8.510998E-06
1.675,1.606838E-05
1.68,4.318975E-05
1.685,5.982435E-05
1.69,7.618765E-05
1.695,6.677291E-05
1.7,4.259982E-05
1.705,4.435047E-05
1.71,8.281549E-05
1.715,1.120909E-04
1.72,1.022099E-04
1.725,5.199606E-05
1.73,8.882167E-07
1.735,1.862499E-05
1.74,7.724625E-05
1.745,7.854952E-05
1.75,4.274870E-05
1.755,3.011300E-05
1.76,4.975819E-05
1.765,7.822490E-05
1.77,7.756967E-05
1.775,8.032829E-05
1.78,1.087929E-04
1.785,1.321423E-04
1.79,8.916181E-05
1.795,3.245942E-05
1.8,2.630127E-05
1.805,3.347089E-05
1.81,2.173858E-05
1.815,5.481650E-05
1.82,9.712930E-05
1.825,7.472976E-05
1.83,3.449798E-05
1.835,2.879041E-05
1.84,4.959882E-05
1.845,8.493257E-05
1.85,1.066807E-04
1.855,1.053115E-04
